MaterialId,Formula,Current_Stability,Target_Stability,Modification_Type,site_index,original_element,new_element,energy_difference,new_energy,distance_to_target
0000a1b980,NaPr(NdB12)2,-0.0379,0.0621,destabilizing,6,Na,H,0.5,-1.5994806289672852,1.6615806818008423
0000a1b980,NaPr(NdB12)2,-0.0379,0.0621,destabilizing,7,Na,H,0.5,-1.5994806289672852,1.6615806818008423
00011f62be,Pr3Nd7Si5Os,-0.0137,-0.11370000000000001,stabilizing,2,Si,H,0.6500000357627869,-0.27054882049560547,0.15684881806373596
00011f62be,Pr3Nd7Si5Os,-0.0137,-0.11370000000000001,stabilizing,2,Si,He,0.6000000238418579,-0.3205488324165344,0.20684882998466492
00011f62be,Pr3Nd7Si5Os,-0.0137,-0.11370000000000001,stabilizing,2,Si,Li,0.550000011920929,-0.3705488443374634,0.25684884190559387
00011f62be,Pr3Nd7Si5Os,-0.0137,-0.11370000000000001,stabilizing,2,Si,Be,0.5,-0.42054885625839233,0.3068488538265228
00011f62be,Pr3Nd7Si5Os,-0.0137,-0.11370000000000001,stabilizing,2,Si,B,0.45000001788139343,-0.4705488383769989,0.3568488359451294
00011f62be,Pr3Nd7Si5Os,-0.0137,0.0863,destabilizing,2,Si,H,0.6500000357627869,-0.27054882049560547,0.3568488359451294
00011f62be,Pr3Nd7Si5Os,-0.0137,0.0863,destabilizing,2,Si,He,0.6000000238418579,-0.3205488324165344,0.40684884786605835
00011f62be,Pr3Nd7Si5Os,-0.0137,0.0863,destabilizing,2,Si,Li,0.550000011920929,-0.3705488443374634,0.4568488597869873
00011f62be,Pr3Nd7Si5Os,-0.0137,0.0863,destabilizing,2,Si,Be,0.5,-0.42054885625839233,0.5068488717079163
00011f62be,Pr3Nd7Si5Os,-0.0137,0.0863,destabilizing,2,Si,B,0.45000001788139343,-0.4705488383769989,0.5568488240242004
00012feb99,La3Ce2Tm15Pt16,-0.1194,-0.2194,stabilizing,0,H,He,-0.05000000074505806,-1.6364524364471436,1.4170523881912231
00012feb99,La3Ce2Tm15Pt16,-0.1194,-0.2194,stabilizing,1,H,He,-0.05000000074505806,-1.6364524364471436,1.4170523881912231
00012feb99,La3Ce2Tm15Pt16,-0.1194,-0.2194,stabilizing,2,H,He,-0.05000000074505806,-1.6364524364471436,1.4170523881912231
00012feb99,La3Ce2Tm15Pt16,-0.1194,-0.2194,stabilizing,3,H,He,-0.05000000074505806,-1.6364524364471436,1.4170523881912231
00012feb99,La3Ce2Tm15Pt16,-0.1194,-0.2194,stabilizing,4,H,He,-0.05000000074505806,-1.6364524364471436,1.4170523881912231
00012feb99,La3Ce2Tm15Pt16,-0.1194,-0.0194,destabilizing,0,H,He,-0.05000000074505806,-1.6364524364471436,1.617052435874939
00012feb99,La3Ce2Tm15Pt16,-0.1194,-0.0194,destabilizing,1,H,He,-0.05000000074505806,-1.6364524364471436,1.617052435874939
00012feb99,La3Ce2Tm15Pt16,-0.1194,-0.0194,destabilizing,2,H,He,-0.05000000074505806,-1.6364524364471436,1.617052435874939
00012feb99,La3Ce2Tm15Pt16,-0.1194,-0.0194,destabilizing,3,H,He,-0.05000000074505806,-1.6364524364471436,1.617052435874939
00012feb99,La3Ce2Tm15Pt16,-0.1194,-0.0194,destabilizing,4,H,He,-0.05000000074505806,-1.6364524364471436,1.617052435874939
0001759321,Er2Zr3Si3Ge,-0.0302,-0.1302,stabilizing,2,Si,F,0.25,-0.11457067728042603,0.015629321336746216
0001759321,Er2Zr3Si3Ge,-0.0302,-0.1302,stabilizing,2,Si,Ne,0.20000000298023224,-0.1645706743001938,0.034370675683021545
0001759321,Er2Zr3Si3Ge,-0.0302,-0.1302,stabilizing,2,Si,O,0.30000001192092896,-0.06457066535949707,0.06562933325767517
0001759321,Er2Zr3Si3Ge,-0.0302,-0.1302,stabilizing,2,Si,Na,0.15000000596046448,-0.21457067131996155,0.0843706727027893
0001759321,Er2Zr3Si3Ge,-0.0302,-0.1302,stabilizing,2,Si,N,0.3499999940395355,-0.014570683240890503,0.11562931537628174
0001759321,Er2Zr3Si3Ge,-0.0302,0.0698,destabilizing,2,Si,B,0.45000001788139343,0.08542934060096741,0.015629343688488007
0001759321,Er2Zr3Si3Ge,-0.0302,0.0698,destabilizing,2,Si,C,0.4000000059604645,0.03542932868003845,0.03437066823244095
0001759321,Er2Zr3Si3Ge,-0.0302,0.0698,destabilizing,2,Si,Be,0.5,0.13542932271957397,0.06562932580709457
0001759321,Er2Zr3Si3Ge,-0.0302,0.0698,destabilizing,2,Si,N,0.3499999940395355,-0.014570683240890503,0.0843706801533699
0001759321,Er2Zr3Si3Ge,-0.0302,0.0698,destabilizing,2,Si,Li,0.550000011920929,0.18542933464050293,0.11562933772802353
0001803dde,Y4Er8Ni5Bi,-0.0053,-0.1053,stabilizing,0,H,He,-0.05000000074505806,-0.3298473358154297,0.22454732656478882
0001803dde,Y4Er8Ni5Bi,-0.0053,-0.1053,stabilizing,1,H,He,-0.05000000074505806,-0.3298473358154297,0.22454732656478882
0001803dde,Y4Er8Ni5Bi,-0.0053,-0.1053,stabilizing,3,H,He,-0.05000000074505806,-0.3298473358154297,0.22454732656478882
0001803dde,Y4Er8Ni5Bi,-0.0053,-0.1053,stabilizing,4,H,He,-0.05000000074505806,-0.3298473358154297,0.22454732656478882
0001803dde,Y4Er8Ni5Bi,-0.0053,-0.1053,stabilizing,5,H,He,-0.05000000074505806,-0.3298473358154297,0.22454732656478882
0001803dde,Y4Er8Ni5Bi,-0.0053,0.0947,destabilizing,2,Ni,Ca,0.4000000059604645,0.12015268206596375,0.02545268088579178
0001803dde,Y4Er8Ni5Bi,-0.0053,0.0947,destabilizing,2,Ni,K,0.45000001788139343,0.1701526939868927,0.07545269280672073
0001803dde,Y4Er8Ni5Bi,-0.0053,0.0947,destabilizing,2,Ni,Ar,0.5,0.22015267610549927,0.1254526674747467
0001803dde,Y4Er8Ni5Bi,-0.0053,0.0947,destabilizing,2,Ni,Cl,0.550000011920929,0.2701526880264282,0.17545267939567566
0001803dde,Y4Er8Ni5Bi,-0.0053,0.0947,destabilizing,2,Ni,S,0.6000000238418579,0.3201526999473572,0.22545269131660461
000195ca16,DyEr2Lu2CoSb2,-0.0231,-0.1231,stabilizing,0,H,He,-0.05000000074505806,-0.3060280680656433,0.18292807042598724
000195ca16,DyEr2Lu2CoSb2,-0.0231,-0.1231,stabilizing,1,H,He,-0.05000000074505806,-0.3060280680656433,0.18292807042598724
000195ca16,DyEr2Lu2CoSb2,-0.0231,-0.1231,stabilizing,2,H,He,-0.05000000074505806,-0.3060280680656433,0.18292807042598724
000195ca16,DyEr2Lu2CoSb2,-0.0231,-0.1231,stabilizing,4,H,He,-0.05000000074505806,-0.3060280680656433,0.18292807042598724
000195ca16,DyEr2Lu2CoSb2,-0.0231,-0.1231,stabilizing,5,H,He,-0.05000000074505806,-0.3060280680656433,0.18292807042598724
000195ca16,DyEr2Lu2CoSb2,-0.0231,0.07690000000000001,destabilizing,3,Co,Ca,0.3499999940395355,0.09397193789482117,0.017071940004825592
000195ca16,DyEr2Lu2CoSb2,-0.0231,0.07690000000000001,destabilizing,3,Co,K,0.4000000059604645,0.14397194981575012,0.06707195192575455
000195ca16,DyEr2Lu2CoSb2,-0.0231,0.07690000000000001,destabilizing,3,Co,Ar,0.45000001788139343,0.19397196173667908,0.1170719638466835
000195ca16,DyEr2Lu2CoSb2,-0.0231,0.07690000000000001,destabilizing,3,Co,Cl,0.5,0.24397194385528564,0.16707193851470947
000195ca16,DyEr2Lu2CoSb2,-0.0231,0.07690000000000001,destabilizing,3,Co,S,0.550000011920929,0.2939719557762146,0.21707195043563843
00019facb3,Tb8Gd4InGaCo4,-0.027,-0.127,stabilizing,3,Ga,K,0.6000000238418579,-0.1492999792098999,0.022299975156784058
00019facb3,Tb8Gd4InGaCo4,-0.027,-0.127,stabilizing,4,Co,P,0.6000000238418579,-0.1492999792098999,0.022299975156784058
00019facb3,Tb8Gd4InGaCo4,-0.027,-0.127,stabilizing,3,Ga,Ar,0.6500000357627869,-0.09929996728897095,0.027700036764144897
00019facb3,Tb8Gd4InGaCo4,-0.027,-0.127,stabilizing,4,Co,Si,0.6500000357627869,-0.09929996728897095,0.027700036764144897
00019facb3,Tb8Gd4InGaCo4,-0.027,-0.127,stabilizing,3,Ga,Ca,0.550000011920929,-0.19929999113082886,0.07229998707771301
00019facb3,Tb8Gd4InGaCo4,-0.027,0.07300000000000001,destabilizing,3,Ga,P,0.800000011920929,0.05070000886917114,0.02229999005794525
00019facb3,Tb8Gd4InGaCo4,-0.027,0.07300000000000001,destabilizing,4,Co,Na,0.800000011920929,0.05070000886917114,0.02229999005794525
00019facb3,Tb8Gd4InGaCo4,-0.027,0.07300000000000001,destabilizing,3,Ga,Si,0.8500000238418579,0.1007000207901001,0.027700021862983704
00019facb3,Tb8Gd4InGaCo4,-0.027,0.07300000000000001,destabilizing,4,Co,Ne,0.8500000238418579,0.1007000207901001,0.027700021862983704
00019facb3,Tb8Gd4InGaCo4,-0.027,0.07300000000000001,destabilizing,3,Ga,S,0.75,0.0006999969482421875,0.0723000019788742
